ENTIDADE,DATA,SURFACTANTES,PH,FÓSFORO,ALUMÍNIO,ARSÊNIO,BÁRIO,BORO,CÁDMIO,CHUMBO,CIANETO,COBALTO,COBRE,CROMO,CROMO_HEXAVALENTE,DBO,DQO,ESTANHO,FERRO,FLUORETO,LÍTIO,MANGANÊS,MERCÚRIO,MOLIBDÊNIO,NÍQUEL,NITROGÊNIO_AMONIACAL,NITROGÊNIO_KJELDAHL,COLIFORMES_TERMOTOLERANTES,PRATA,ÍNDICE_DE_FENÓIS,NITROGÊNIO,FENOL,ALCALINIDADE,UMIDADE,PORCENTAGEM_SÓLIDOS,COMPOSTOS,COR_VERDADEIRA,SÓLIDOS,ÓLEOS,ACIDEZ
P5,2015-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,,
P7,2015-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,
P1,2015-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.0,,
Pb,2015-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6,,
Pc,2015-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2,,
Pd,2015-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,
P2,2015-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,
P3,2015-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,
P4,2015-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.9,,
P5,2015-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,
P1,2015-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,,
Pb,2015-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pc,2015-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd,2015-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2015-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,,
P3,2015-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,
P4,2015-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4,,
P5,2015-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3,,
P1,2015-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,949.0,,
Pb,2015-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pc,2015-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd,2015-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2015-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,,
P3,2015-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.9,,
P4,2015-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.9,,
P5,2015-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9,,
P7,2015-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.2,,
P1,2015-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.7,,
Pb,2015-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,,
Pc,2015-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,
Pd,2015-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,
P2,2015-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,
P3,2015-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,,
P4,2015-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,,
P5,2015-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,,
P1,2015-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.0,,
Pb,2015-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,,
Pc,2015-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,
Pd,2015-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,,
P2,2015-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,,
P3,2015-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,,
P4,2015-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.5,,
P5,2015-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,,
P1,2015-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.7,,
Pb,2015-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pc,2015-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd,2015-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2015-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,,
P3,2015-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,,
P4,2015-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6,,
P5,2015-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,
P7,2015-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,
P1,2015-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.7,,
Pb,2015-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,,
Pc,2015-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,
Pd,2015-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,
P2,2015-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,
P3,2015-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,,
P4,2015-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.5,,
P5,2015-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,,
P1,2015-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.5,,
Pb,2015-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,,
Pc,2015-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,
Pd,2015-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,,
P2,2015-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,
P3,2015-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,
P4,2015-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,,
P5,2015-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,,
P1,2016-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.2,,
Pb,2016-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,
Pc,2016-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,
Pd,2016-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,
P2,2016-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,
P3,2016-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,
P4,2016-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,
P5,2016-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9,,
P7,2016-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,,
P1,2016-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5,,
Pb,2016-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,
Pc,2016-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,
Pd,2016-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,
P2,2016-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,,
P3,2016-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,
P4,2016-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8,,
P5,2016-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7,,
P1,2016-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.8,,
Pb,2016-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,,
Pc,2016-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,
Pd,2016-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,
P2,2016-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,
P3,2016-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,,
P4,2016-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.5,,
P5,2016-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,,
P1,2016-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.3,,
Pb,2016-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,,
Pc,2016-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,,
Pd,2016-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,
P2,2016-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,
P3,2016-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,,
P4,2016-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.3,,
P5,2016-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,,
P7,2016-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7,,
P1,2016-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.5,,
Pb,2016-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pc,2016-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd,2016-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2016-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,,
P3,2016-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,,
P4,2016-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,,
P5,2016-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,
P1,2016-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,,
Pb,2016-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4,,
Pc,2016-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,,
Pd,2016-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,,
P2,2016-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6,,
P3,2016-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,,
P4,2016-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.0,,
P5,2016-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1,,
P1,2016-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.5,,
Pb,2016-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2,,
Pc,2016-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,,
Pd,2016-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,,
P2,2016-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,,
P3,2016-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4,,
P4,2016-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,,
P5,2016-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,,
P7,2016-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,,
P1,2016-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.5,,
Pb,2016-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,
Pc,2016-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8,,
Pd,2016-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,
P2,2016-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,,
P3,2016-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,
P4,2016-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,
P5,2016-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,,
P1,2016-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.5,,
Pb,2016-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,,
Pc,2016-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,
Pd,2016-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6,,
P2,2016-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,,
P3,2016-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,
P4,2016-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.5,,
P5,2016-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,
P1,2016-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.3,,
Pb,2016-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,,
Pc,2016-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.8,,
Pd,2016-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,
P2,2016-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,
P3,2016-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,
P4,2016-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.0,,
P5,2016-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.5,,
P7,2016-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,,
P1,2016-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.5,,
Pb,2016-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,
Pc,2016-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.8,,
Pd,2016-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,,
P2,2016-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.1,,
P3,2016-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,
P4,2016-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.5,,
P5,2016-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
P1,2016-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.3,,
Pb,2016-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,,
Pc,2016-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1,,
Pd,2016-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,,
P2,2016-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,
P3,2016-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,
P4,2016-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.5,,
P5,2016-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,
P1,2017-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.8,,
Pb,2017-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,,
Pc,2017-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,,
Pd,2017-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,,
P2,2017-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,,
P3,2017-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,,
P4,2017-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8,,
P5,2017-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,
P7,2017-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,
P1,2017-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,,
Pb,2017-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,,
Pc,2017-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,,
Pd,2017-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,
P2,2017-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,
P3,2017-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,
P4,2017-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,,
P5,2017-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,,
P1,2017-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,
Pb,2017-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pc,2017-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd,2017-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2017-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.7,,
P3,2017-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,,
P4,2017-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.6,,
P5,2017-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4,,
P1,2017-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.8,,
Pb,2017-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,,
Pc,2017-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,
Pd,2017-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,,
P2,2017-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.5,,
P3,2017-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,
P4,2017-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,,
P5,2017-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.3,,
P7,2017-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,
P1,2017-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.3,,
Pb,2017-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pc,2017-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd,2017-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2017-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,,
P3,2017-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,
P4,2017-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.5,,
P5,2017-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6,,
P1,2017-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8,,
Pb,2017-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.9,,
Pc,2017-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,,
Pd,2017-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,,
P2,2017-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,
P3,2017-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,,
P4,2017-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.9,,
P5,2017-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,,
P1,2017-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.2,,
Pb,2017-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.4,,
Pc,2017-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,,
Pd,2017-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.5,,
P2,2017-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.8,,
P3,2017-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,,
P4,2017-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.0,,
P5,2017-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9,,
P7,2017-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6,,
P1,2017-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.7,,
Pb,2017-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pc,2017-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd,2017-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,2017-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,,
P3,2017-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.2,,
P4,2017-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.5,,
P5,2017-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9,,
P1,2017-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.3,,
Pb,2017-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8,,
Pc,2017-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.4,,
Pd,2017-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,
P2,2017-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8,,
P3,2017-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1,,
P4,2017-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.3,,
P5,2017-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6,,
P1,2017-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9,,
Pb,2017-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,
Pc,2017-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,
Pd,2017-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.4,,
P2,2017-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,,
P3,2017-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6,,
P4,2017-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.5,,
P5,2017-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,
P7,2017-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,
P1,2017-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,
Pb,2017-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.4,,
Pc,2017-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9,,
Pd,2017-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,
P2,2017-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.7,,
P3,2017-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.5,,
P4,2017-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6,,
P5,2017-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,,
P1,2017-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,,
